Idx,Category,Dataset,Max_Separation,Best_Layer,Separation after 18,Separation after 25
0,animal_class,animal_class,0.9326707720756531,16,0.8734579086303711,0.5881669521331787
1,animal_class,animal_class_conj,0.33621877431869507,21,0.314960777759552,0.333726704120636
2,animal_class,animal_class_disj,0.030619028955698013,28,0.02929607406258583,0.030490385368466377
3,animal_class,neg_animal_class,0.6350647211074829,15,0.579465389251709,0.2545056641101837
4,cities,cities,1.7321093082427979,23,1.6900800466537476,1.4061462879180908
5,cities,cities_conj,0.4004644751548767,19,0.38875389099121094,0.28448259830474854
6,cities,cities_disj,0.07786530256271362,25,0.05852310359477997,0.07786530256271362
7,cities,neg_cities,0.8771182894706726,17,0.8684756755828857,0.4281488358974457
8,element_symb,element_symb,0.5775138139724731,18,0.5775138139724731,0.38522496819496155
9,element_symb,element_symb_conj,0.4254707992076874,18,0.4254707992076874,0.2807021737098694
10,element_symb,element_symb_disj,0.10186916589736938,25,0.06685031205415726,0.10186916589736938
11,element_symb,neg_element_symb,0.36515748500823975,18,0.36515748500823975,0.11857865005731583
12,facts,facts,0.09321307390928268,18,0.09321307390928268,0.060569312423467636
13,facts,facts_conj,0.03562724590301514,18,0.03562724590301514,0.0235072560608387
14,facts,facts_disj,0.017875822260975838,18,0.017875822260975838,0.015651674941182137
15,facts,neg_facts,0.03126067295670509,17,0.028115378692746162,0.011195993050932884
16,inventors,inventors,0.05988489091396332,18,0.05988489091396332,0.028232598677277565
17,inventors,inventors_conj,0.02449607104063034,18,0.02449607104063034,0.016118258237838745
18,inventors,inventors_disj,0.011346109211444855,16,0.01132619846612215,0.00641240319237113
19,inventors,neg_inventors,0.0890386700630188,17,0.08527474105358124,0.032805852591991425
20,real_world_scenarios,ambiguous_lies_truths,0.05709907412528992,16,0.05130784586071968,0.05331098288297653
21,real_world_scenarios,irrelevant,0.0,0,0.0,0.0
22,real_world_scenarios,irrelevant,0.0,0,0.0,0.0
23,real_world_scenarios,unambiguous_lies_truths,0.13109640777111053,15,0.10732842981815338,0.07115711271762848
24,real_world_scenarios,irrelevant,0.0,0,0.0,0.0
25,relative_comparison,larger_than,0.4568519592285156,18,0.4568519592285156,0.27420735359191895
26,relative_comparison,smaller_than,0.34749260544776917,18,0.34749260544776917,0.23472091555595398
27,sp_en_trans,neg_sp_en_trans,0.6791747212409973,18,0.6791747212409973,0.507973313331604
28,sp_en_trans,sp_en_trans,0.8028336763381958,22,0.763526201248169,0.7662526965141296
29,sp_en_trans,sp_en_trans_conj,0.38606661558151245,21,0.36065611243247986,0.3339904546737671
30,sp_en_trans,sp_en_trans_disj,0.056881729513406754,19,0.05579443648457527,0.046375371515750885
31,true_false,common_claim_true_false,0.016942599788308144,18,0.016942599788308144,0.011255986988544464
32,true_false,counterfact_true_false,0.012647916562855244,18,0.012647916562855244,0.0064313411712646484
33,animal_class,animal_class_de,0.34784355759620667,18,0.34784355759620667,0.26930344104766846
34,animal_class,neg_animal_class_de,0.11908286809921265,17,0.10494522005319595,0.04884304478764534
35,cities,cities_de,0.83697509765625,18,0.83697509765625,0.5556996464729309
36,cities,neg_cities_de,0.6381314992904663,19,0.6380331516265869,0.3974912464618683
37,element_symb,element_symb_de,0.05678967386484146,17,0.056186094880104065,0.03593003749847412
38,element_symb,neg_element_symb_de,0.08609187602996826,18,0.08609187602996826,0.05035988241434097
39,facts,facts_de,0.036086734384298325,17,0.035993702709674835,0.024208687245845795
40,facts,neg_facts_de,0.03324295952916145,11,0.025762470439076424,0.01771114207804203
41,inventors,inventors_de,0.09240997582674026,18,0.09240997582674026,0.06491433084011078
42,inventors,neg_inventors_de,0.09865076094865799,18,0.09865076094865799,0.06263825297355652
43,sp_en_trans,neg_sp_en_trans_de,0.2801683843135834,17,0.26104140281677246,0.1566130369901657
44,sp_en_trans,sp_en_trans_de,0.9257386326789856,29,0.6097970604896545,0.8243449926376343
