scenario_identifier,lyr18_train_mean_activ_loss_on_train,lyr18_train_mean_activ_and_t_p_dirs_loss_on_train,lyr18_train_mean_activ_loss_on_validation,lyr18_train_mean_activ_and_t_p_dirs_loss_on_validation,lyr18_validation_mean_activ_loss_on_validation,lyr18_validation_mean_activ_and_t_p_dirs_loss_on_validation,lyr25_train_mean_activ_loss_on_train,lyr25_train_mean_activ_and_t_p_dirs_loss_on_train,lyr25_train_mean_activ_loss_on_validation,lyr25_train_mean_activ_and_t_p_dirs_loss_on_validation,lyr25_validation_mean_activ_loss_on_validation,lyr25_validation_mean_activ_and_t_p_dirs_loss_on_validation,lyrs18_and_25_train_mean_activ_loss_on_train,lyrs18_and_25_train_mean_activ_and_t_p_dirs_loss_on_train,lyrs18_and_25_train_mean_activ_loss_on_validation,lyrs18_and_25_train_mean_activ_and_t_p_dirs_loss_on_validation,lyrs18_and_25_validation_mean_activ_loss_on_validation,lyrs18_and_25_validation_mean_activ_and_t_p_dirs_loss_on_validation
0,839.58673,458.12762,842.1254,407.26334,742.8579,448.1245,5692.3193,3614.9575,5390.118,3227.6914,4943.9023,3424.1423,6531.9062,4073.0854,6232.2427,3634.9602,5686.7603,3872.2522
1,357.95496,272.09708,337.18527,259.14432,332.5665,254.16646,3296.308,2478.6804,3045.9014,2265.7888,3021.4268,2239.0479,3654.2632,2750.7776,3383.0867,2524.9326,3353.993,2493.2134
2,116.97476,113.776474,112.387985,108.743225,110.763275,107.39899,918.42773,893.2042,908.8198,874.4621,897.9956,866.09937,1035.4025,1006.98065,1021.2079,983.20526,1008.75885,973.49835
3,505.96756,323.89755,482.77728,285.54068,468.2864,281.2044,3318.4575,2662.4949,3201.8613,2475.2222,3124.6245,2432.8003,3824.425,2986.392,3684.6387,2760.7605,3592.911,2714.003
4,731.0597,269.67297,734.7005,280.95374,732.3655,280.7492,5239.0503,2173.298,5251.657,2194.2385,5235.2075,2193.2112,5970.1104,2442.9712,5986.358,2475.1924,5967.5728,2473.9604
5,287.07715,208.14897,305.02057,213.70218,304.10486,213.4148,2234.79,1747.4376,2343.0251,1792.1339,2335.0,1788.4437,2521.8672,1955.5868,2648.046,2005.8358,2639.105,2001.8585
6,148.61378,140.1421,139.88684,133.47285,138.77448,132.32965,1102.0825,1016.79456,1030.0107,979.3939,1022.5081,970.6353,1250.6964,1156.9366,1169.8977,1112.8667,1161.2827,1102.965
7,407.9991,219.87178,418.10776,217.668,413.32263,219.92386,3572.2927,2506.0278,3706.6958,2575.7222,3671.0266,2583.7905,3980.2915,2725.8994,4124.8037,2793.3892,4084.3496,2803.7139
8,633.9159,412.12247,612.9303,345.02866,597.97314,329.4436,4477.2705,3270.4578,4408.963,3014.347,4298.8345,2896.2854,5111.1865,3682.5798,5021.894,3359.3792,4896.8076,3225.7324
9,517.5069,358.46405,509.3146,369.31165,502.58487,364.75308,3062.8438,2374.5393,2903.2542,2311.1858,2864.0469,2275.3296,3580.3508,2733.0032,3412.5688,2680.4985,3366.6318,2640.0837
10,362.3735,340.09,378.21164,353.41638,369.028,344.77,2611.3955,2369.5518,2805.8213,2547.0483,2718.555,2468.1514,2973.7688,2709.6418,3184.0325,2900.465,3087.583,2812.9211
11,390.8675,279.68466,437.5458,346.219,427.79126,336.46442,3571.283,3175.8264,3776.8425,3456.4873,3658.536,3338.1802,3962.1504,3455.511,4214.388,3802.7063,4086.3274,3674.6453
12,1731.1144,1579.1024,1667.8239,1545.1721,1642.0748,1528.69,13039.011,12254.452,12966.89,12405.957,12773.927,12261.292,14770.125,13833.554,14634.714,13951.117,14416.003,13789.966
13,1071.1953,1031.8433,1049.7388,1027.2212,1040.8442,1018.2389,7192.195,7018.004,7018.4395,6908.567,6963.11,6859.5527,8263.389,8049.8477,8068.18,7935.7896,8003.955,7877.7905
14,1040.0054,1022.8418,1009.91125,989.81195,999.70764,979.40063,6258.616,6169.0977,6344.5186,6229.864,6296.302,6181.2036,7298.621,7191.939,7354.4307,7219.675,7296.009,7160.605
15,1589.9973,1544.486,1608.1976,1574.9728,1589.1184,1555.8737,11839.083,11700.181,12435.306,12351.964,12265.215,12182.068,13429.079,13244.667,14043.503,13926.935,13854.333,13737.941
16,1196.9553,1129.5078,1224.2186,1161.6927,1215.1973,1152.8488,11810.248,11460.977,11944.477,11779.9,11845.776,11673.524,13007.204,12590.484,13168.693,12941.584,13060.976,12826.364
17,633.2612,617.545,632.55005,621.85345,626.7396,615.78705,4600.4795,4521.466,4483.1235,4447.3296,4449.3906,4410.9004,5233.7407,5139.0107,5115.674,5069.183,5076.131,5026.6875
18,499.6934,493.54196,488.83762,486.0592,483.59418,481.13138,4003.2598,3976.765,3886.755,3867.4897,3841.2197,3824.314,4502.953,4470.3066,4375.593,4353.549,4324.814,4305.446
19,768.0098,703.3394,735.6552,699.1261,724.69775,688.76416,7567.879,7295.847,7278.0234,7209.02,7168.02,7088.287,8335.889,7999.1865,8013.6777,7908.1494,7892.718,7777.0547
20,1865.2726,1865.2725,1928.5161,1928.5154,1437.3116,1437.3115,15383.675,15383.674,18697.82,18697.809,13385.83,13385.831,17248.947,17248.947,20626.336,20626.344,14823.142,14823.141
21,1528.0028,1528.0029,2012.7773,2012.7771,1505.2,1505.2,15391.297,15391.295,18831.926,18831.93,13940.08,13940.08,16919.299,16919.299,20844.703,20844.701,15445.281,15445.279
22,1515.1938,1515.194,2460.1,2460.0994,912.1267,912.1267,12136.5,12136.501,22108.443,22108.443,8465.427,8465.426,13651.695,13651.695,24568.545,24568.547,9377.554,9377.553
23,1588.5667,1588.5665,1495.4594,1495.4598,1309.0056,1309.0056,12697.465,12697.464,11499.814,11499.815,10150.318,10150.317,14286.03,14286.03,12995.273,12995.277,11459.323,11459.323
24,1559.8141,1559.814,1465.341,1465.3413,1320.1552,1320.1553,15958.376,15958.375,13812.199,13812.199,12485.91,12485.909,17518.19,17518.19,15277.541,15277.54,13806.063,13806.063
25,254.31483,174.38853,252.42365,173.89839,251.25153,173.06499,1708.6165,1342.7949,1720.6174,1343.4805,1710.6932,1336.083,1962.9312,1517.1836,1973.041,1517.3788,1961.9447,1509.1478
26,248.96936,184.76239,248.67471,184.48032,247.6312,184.49039,1682.9847,1358.2385,1639.982,1347.3938,1632.8352,1346.6451,1931.9539,1543.001,1888.6566,1531.8738,1880.4666,1531.1354
27,444.3566,262.89203,445.6047,270.59338,441.81845,266.96753,2053.579,1353.8663,2043.3752,1380.2623,2023.9482,1361.7195,2497.9355,1616.7584,2488.9802,1650.8557,2465.7668,1628.6875
28,630.75464,362.42673,587.3447,313.78546,550.7957,322.1169,3076.0903,1757.6119,2873.7869,1562.2119,2685.6938,1601.1735,3706.845,2120.0388,3461.131,1875.9972,3236.4897,1923.2897
29,545.128,400.44965,540.2687,392.98392,532.5809,388.4095,2165.453,1625.6025,2192.5928,1626.871,2162.0024,1608.9541,2710.5806,2026.0522,2732.8616,2019.8545,2694.5828,1997.3634
30,555.78143,524.0033,587.27515,565.2742,579.3377,558.2944,3306.9443,3142.4243,3488.0312,3408.459,3439.1062,3364.9731,3862.7258,3666.4282,4075.307,3973.7341,4018.4438,3923.2686
31,1845.5039,1815.9432,1842.9506,1808.0156,1840.4321,1805.4924,15789.323,15620.934,15957.809,15755.251,15936.468,15733.913,17634.826,17436.877,17800.76,17563.266,17776.898,17539.404
32,1435.337,1417.2819,1436.0635,1418.6692,1435.7811,1418.3915,10784.264,10715.016,10756.588,10689.434,10754.843,10687.702,12219.602,12132.298,12192.653,12108.104,12190.623,12106.094
